Manufacturer,Family,Name,Base frequency,TDP
Intel,Sandy bridge,Intel(R) Core(TM) i7-2720QM Processor,2.20 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2540M Processor,2.60 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2300 Processor,2.80 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2400 Processor,3.10,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2400S Processor,2.50 ,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2500 Processor,3.30 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2500K Processor,3.30 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2500S Processor,2.70 ,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2500T Processor,2.30 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2600 Processor,3.40 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2600K Processor,3.40 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2600S Processor,2.80 ,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2630QM Processor,2.00 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2310M Processor,2.10,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2410M Processor,2.30 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2820QM Processor,2.30 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2520M Processor,2.50 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2620M Processor,2.70 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2920XM Processor Extreme Edition,2.50 ,55 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1220,3.10,80 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1225,3.10,95 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1230,3.20 ,80 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1235,3.20 ,95 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1240,3.30 ,80 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1245,3.30 ,95 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1260L,2.40 ,45 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1270,3.40 ,80 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1275,3.40 ,95 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1280,3.50 ,95 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1220L,2.20 ,20 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G530,2.40 ,65 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G530T,2.00 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G540,2.50 ,65 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G540T,2.10,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G550,2.60 ,65 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G550T,2.20 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2100 Processor,3.10,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2100T Processor,2.50 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2102 Processor,3.10,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2120 Processor,3.30 ,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2120T Processor,2.60 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2130 Processor,3.40 ,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2312M Processor,2.10,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2330E Processor,2.20 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2330M Processor,2.20 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2350M Processor,2.30 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2370M Processor,2.40 ,35 W
